Country,OECD,Child_Marriage_Law,Household_Responsibilities_Law,Divorce_Law,Inheritance_Law,Violence_Against_Women_Law,Female_Genital_Mutilation_Law,Reproductive_Autonomy_Law,Access_to_Land_Assets_Law,Access_to_NonLand_Assets_Law,Access_to_Formal_Financial_Services_Law,Workplace_Rights_Law,Citizenship_Rights_Law,Political_Voice_Law,Freedom_of_Movement_Law,Access_to_Justice_Law
Australia,1,0.5,0.5,0,0,0.75,0,0,0,0,0,0.25,0,0.5,0,0
Austria,1,0.5,0.5,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0
Belgium,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Canada,1,0.75,0.5,0,0,0.25,0.25,0,0.5,0,0,0,0,0.5,0,0
Chile,1,0.5,0.75,0.25,0,0.75,1,0.5,0.75,1,0,1,0,0,0,0
Colombia,1,0.5,0,0,0,0.25,1,0.5,0,0,0,1,0,0.25,0,0
Costa Rica,1,0.5,0.5,0.5,0.5,0.75,1,0.75,0,0,0.75,1,0,0,0,0
Czech Republic,1,0.5,0.5,0.25,0,0.75,1,0,0,0,0.25,0.25,0,0.5,0,0.25
Denmark,1,0,0.5,0,0,0.5,0.75,0,0,0,0,0,0,0,0,0
Estonia,1,0.5,0.5,0,0,0.25,0.75,0,0,0,0,0.25,0,0.5,0,0
Finland,1,0.5,0.5,0,0,0.75,1,0.25,0,0,0,0,0,0,0,0
France,1,0.5,0.5,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0
Germany,1,0.25,0.5,0,0,0.75,0.25,0,0,0,0,0.75,0,0.5,0,0
Greece,1,0.5,0.5,0.5,0.5,0.25,1,0,0.5,0.5,0,0.25,0,0.25,0,0
Hungary,1,0.5,0.5,0,0.5,0.75,1,0.25,0.25,0.25,0,0.75,0,0.5,0,0
Ireland,1,0.5,0.5,0,0,0.25,0,0.75,0,0,0,1,0,0,0,0
Israel,1,0.5,0.5,0.75,0.25,0.75,1,0.25,0.25,0.25,0,1,0.5,0.25,0,0.75
Italy,1,0.5,0.5,0,0,0.75,0.25,0,0,0,0.25,0,0,0,0,0
Japan,1,0.5,0.25,0.25,0,0.75,1,0.5,0.25,0,0.25,1,0,0.5,0,0
Korea,1,0.5,0.5,0,0,0.25,1,0.5,0.25,0.25,0,1,0.25,0.25,0,0
Latvia,1,0.5,0.5,0,0,0.75,1,0,0,0,0.25,0,0,0.5,0,0
Lithuania,1,0.5,0.5,0.25,0,0.5,1,0,0,0,0,0.25,0,0.5,0,0
Mexico,1,0.75,0.5,1,0.25,0.5,1,0.5,0.25,0.25,0,0,0,0.25,0,0.25
Netherlands,1,0.25,0.5,0.25,0,0.75,0.25,0,0,0,0,0,0,0.5,0,0
New Zealand,1,0.5,0.5,0,0,0.75,0,0.25,0,0,0,0.25,0,0.5,0,0
Norway,1,0.5,0.5,0.25,0,0.25,0.25,0,0,0,0,0,0,0.5,0,0
Poland,1,0.5,0.5,0,0,0.75,1,0.5,0,0,0,1,0,0,0,0
Portugal,1,0.5,0.5,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0
Slovak Republic,1,0.75,0.5,0,0,0.25,1,0,0,0,0,0.25,0,0.5,0,0.25
Slovenia,1,0.5,0.5,0,0,0.25,1,0,0.25,0,0,0,0,0,0,0
Spain,1,0.5,0.5,0,0.25,0.5,0.25,0,0.25,0,0,0,0,0,0,0
Sweden,1,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0
Switzerland,1,0,0,0,0,0.75,0.25,0,0,0,0,0.75,0,0,0,0
Turkey,1,0.5,0.5,0.25,0.25,0.25,1,0,0.25,0.25,0.25,1,0,0.5,0,0
United Kingdom,1,0.5,0.5,0,0.25,0.75,0,0.75,0.25,0,0,0,0,0,0,0
United States,1,0.75,0.5,0,0,0.5,0,0,0,0,0,0.75,0,0.5,0,0
Afghanistan,0,1,0.75,1,0.75,0.75,1,0.75,0.25,0.25,0.25,1,0,0.25,0.75,0.75
Albania,0,0.5,0.5,0.25,0.25,0.5,1,0,0.25,0,0.25,1,0,0,0,0
Algeria,0,0.5,0.75,1,1,0.5,1,0.75,0.25,0.25,0.25,1,1,0.25,0.75,0.75
Angola,0,0.5,0.5,0.5,0.5,0.75,1,0,0.5,0.5,0.25,1,0,0.25,0,0.25
Antigua and Barbuda,0,0.5,0.5,0,0,0.75,1,0.75,0.25,0.75,0.25,0,0,0.5,0,0
Argentina,0,0.5,0.5,0,0,0.75,1,0.5,0.25,0,0,1,0,0,0,0
Armenia,0,0.5,0.5,0.25,0.25,0.75,1,0,0.25,0,0.25,0.75,0,0.25,0,0.25
Azerbaijan,0,0.5,0.5,0.25,0,0.75,1,0,0,0,0.25,1,0,0.25,0,0.25
Bahamas,0,0.5,0.5,0,0,0.5,1,0.25,0,0,0,0.75,0.75,0.5,0,0
Bahrain,0,1,1,1,1,0.75,1,0,0.25,0.25,0.25,1,0.75,0.5,0.75,0.75
Bangladesh,0,0.5,0.75,1,1,0.75,1,0.75,0.5,0.5,0.25,1,0.75,0.25,0,0.75
Barbados,0,0.5,0.5,0,0,0.75,1,0.25,0,0,0.25,1,0.75,0.5,0.75,0
Belarus,0,0.5,0.75,0,0,0.75,1,0,0,0,0,1,0,0.5,0,0.25
Belize,0,0.5,0.5,0,0,0.75,1,0.75,0,0,0,1,0,0.5,0.75,0
Benin,0,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.25,0.25,1,0.75,0.5,0.75,0.25
Bhutan,0,0.25,0.5,0.75,0,0.5,1,0.5,0.25,0,0,1,0,0.5,0,0
Bolivia,0,0.5,0.5,0,0.25,0.25,1,0.25,0.25,0.25,0,1,0,0.25,0,0.25
Bosnia and Herzegovina,0,0.5,0.5,0,0.25,0.5,1,0,0.25,0.25,0,1,0,0.25,0,0.25
Botswana,0,0.5,0.5,0.5,0.25,0.75,0,0.25,0.5,0.5,0.25,0.75,0.25,0.5,0.75,0.75
Brazil,0,0.75,0.5,0,0,0.25,1,0.5,0.25,0.25,0,0.25,0,0.25,0,0
Bulgaria,0,0.5,0.5,0.25,0,0.75,1,0,0.25,0.25,0.25,1,0,0.5,0,0
Burkina Faso,0,1,0.5,0.25,0.25,0.75,0.25,0.5,0.25,0.25,0.25,1,0,0,0,0
Burundi,0,0.5,0.75,0.25,..,0.5,0,0.75,0.25,0.25,0.25,1,1,0,0,0.25
Cambodia,0,0.5,0.5,0.25,0.25,0.5,1,0,0.25,0.25,0.25,0.75,0.25,0.5,0.25,0.75
Cameroon,0,1,0.75,0.25,0.25,0.75,0.5,0.5,1,1,0.25,1,0.75,0.25,0.75,0.25
Cabo Verde,0,0.5,0.25,0.75,0,0.5,1,0,0,0,0.25,0.25,0,0.25,0,0.25
Central African Republic,0,0.5,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,1,1,0.5,0,0.25
Chad,0,0.5,0.75,0.5,0.5,0.75,0.25,0.25,0.5,0.5,1,1,0,0.25,0,0.75
China (People's Republic of),0,0.25,0.5,0,0,0.75,1,0,0,0,0,1,0,0,0,0
Comoros,0,0.5,1,0.75,1,0.75,1,0.75,0.5,0.5,0.25,0.75,1,0.5,0,0.25
Congo,0,0.5,0.75,0.25,0.25,0.75,1,1,1,1,0.25,1,1,0.25,0.75,0.25
Democratic Republic of the Congo,0,0.25,0.75,0.75,0.25,0.75,0.25,0.75,0.5,0.5,0.25,1,0,0.25,0,0.25
C™te d'Ivoire,0,0.5,0.5,0,0.25,0.75,0.25,0.75,1,1,0.25,1,0,0.25,0,0.25
Croatia,0,0.5,0.5,0,0,0.25,0,0,0.25,0.25,0,1,0,0,0,0.25
Cuba,0,0.5,0.5,0.25,0,0.75,1,0,0.25,0,0,0,0,0.5,0,0
Cyprus,0,0.5,0.75,0.5,0,0.25,0.75,0.25,0,0,0,1,0,0.5,0.75,0
Djibouti,0,0.5,0.75,0.75,1,0.5,0.25,0.75,0.25,0.25,0.25,1,0.25,0.25,0,0.75
Dominican Republic,0,0.5,0.5,0.25,0,0.25,1,0.75,0,0,0,0.75,0,0,0,0
Ecuador,0,0.5,0.5,0.25,0.25,0.5,1,0.5,0.25,0.75,0,1,0,0.25,0,0
Egypt,0,0.25,0.75,1,1,0.75,0.25,0.75,0.75,0.75,0.25,1,1,0.25,0.75,0.75
El Salvador,0,0.25,0.5,0,0.25,0.5,1,1,0.25,0.25,0,0.25,0,0.25,0,0.25
Equatorial Guinea,0,0.5,1,0.75,0.25,1,1,0.75,1,1,0.25,1,0,0.5,0,0
Eritrea,0,0.5,0.5,0.25,0.5,0.75,0.75,0.5,0.25,0.25,0.25,0.75,0.25,0.25,0,0.75
Ethiopia,0,0.5,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,1,0,0.5,0,0.25
