Country,Latitude,Longitude,Country_Index,OECD,Child_marriage_Law,Child_marriage_Practice,Household_responsibilities_Law,Divorce_Law,Violence_against_women_Law,Female_genital_mutilation_Law,Reproductive_autonomy_Law,Secure_access_to_land_assets_Law,Access_to_non-land_assets_Law,Secure_access_to_formal_financial services_Law,Workplace_rights_Law,Citizenship_rights_Law,Political_voice_Law,Political_voice_Practice,Freedom_of_movement_Law,Access_to_justice_Law
Australia,-25.274398,133.775136,0,1,0.5,0,0.5,0,0.75,0,0,0,0,0,0.25,0,0.5,28.7,0,0
Austria,47.516231,14.550072,1,1,0.5,1,0.5,0,0.25,0,0,0,0,0,0,0,0.5,34.4,0,0
Belgium,50.503887,4.469936,2,1,0.5,1,0.5,0,0.5,0,0,0,0,0,0,0,0,38,0,0
Canada,56.130366,-106.346771,3,1,0.75,1,0.5,0,0.25,0.25,0,0.5,0,0,0,0,0.5,27,0,0
Chile,-35.675147,-71.542969,4,1,0.5,1,0.75,0.25,0.75,1,0.5,0.75,1,0,1,0,0,22.6,0,0
Colombia,4.570868,-74.297333,5,1,0.5,1,0,0,0.25,1,0.5,0,0,0,1,0,0.25,18.7,0,0
Costa Rica,9.748917,-83.753428,6,1,0.5,1,0.5,0.5,0.75,1,0.75,0,0,0.75,1,0,0,35.1,0,0
Czech Republic,49.817492,15.472962,7,1,0.5,0,0.5,0.25,0.75,1,0,0,0,0.25,0.25,0,0.5,22,0,0.25
Denmark,56.26392,9.501785,8,1,0,1,0.5,0,0.5,0.75,0,0,0,0,0,0,0,37.4,0,0
Estonia,58.595272,25.013607,9,1,0.5,0,0.5,0,0.25,0.75,0,0,0,0,0.25,0,0.5,26.7,0,0
Finland,61.92411,25.748151,10,1,0.5,1,0.5,0,0.75,1,0.25,0,0,0,0,0,0,42,0,0
France,46.227638,2.213749,11,1,0.5,1,0.5,0,0.25,0.25,0,0,0,0,0,0,0,39,0,0
Germany,51.165691,10.451526,12,1,0.25,0,0.5,0,0.75,0.25,0,0,0,0,0.75,0,0.5,30.7,0,0
Greece,39.074208,21.824312,13,1,0.5,1,0.5,0.5,0.25,1,0,0.5,0.5,0,0.25,0,0.25,18.3,0,0
Hungary,47.162494,19.503304,14,1,0.5,0,0.5,0,0.75,1,0.25,0.25,0.25,0,0.75,0,0.5,10.1,0,0
Iceland,64.963051,-19.020835,15,1,0.5,1,0.5,0,0.25,0.75,0.25,0,0,0,0.25,0,0,38.1,0,0
