Country,OECD,Practice,Child_Marriage_Law,Household_Responsibilities_Law,Household_Responsibilities_Attitude,Divorce_Law,Inheritance_Law,Violence_Against_Women_Law,Violence_Against_Women_Attitudes,Female_Genital_Mutilation_Law,Female_Genital_Mutilation_Attitudes,Reproductive_Autonomy_Law,Access_to_Land_Assets_Law,Access_to_NonLand_Assets_Law,Access_to_Formal_Financial_Services_Law,Workplace_Rights_Law,Workplace_Rights_Attitudes,Citizenship_Rights_Law,Political_Voice_Law,Political_Attitudes,Freedom_of_Movement_Law,Access_to_Justice_Law
Australia,1,38.8,0.5,0.5,21.1,0,0,0.75,3.2,0,..,0,0,0,0,0.25,1,0,0.5,21.9,0,0
Austria,1,35.1,0.5,0.5,58.3,0,0,0.25,3,0,..,0,0,0,0,0,5,0,0.5,..,0,0
Belgium,1,36.2,0.5,0.5,32,0,0,0.5,2,0,..,0,0,0,0,0,2,0,0,..,0,0
Canada,1,35.5,0.75,0.5,27.7,0,0,0.25,7.8,0.25,..,0,0.5,0,0,0,0,0,0.5,17.5,0,0
Chile,1,35.4,0.5,0.75,36,0.25,0,0.75,10.3,1,..,0.5,0.75,1,0,1,6,0,0,27,0,0
Colombia,1,38.2,0.5,0,42.4,0,0,0.25,11.1,1,..,0.5,0,0,0,1,5,0,0.25,27.4,0,0
Costa Rica,1,40.4,0.5,0.5,..,0.5,0.5,0.75,3.5,1,..,0.75,0,0,0.75,1,5,0,0,..,0,0
Czech Republic,1,34.7,0.5,0.5,32.5,0.25,0,0.75,2,1,..,0,0,0,0.25,0.25,7,0,0.5,..,0,0.25
Denmark,1,36.1,0,0.5,22.1,0,0,0.5,0,0.75,..,0,0,0,0,0,1,0,0,..,0,0
Estonia,1,38.1,0.5,0.5,23.9,0,0,0.25,16.9,0.75,..,0,0,0,0,0.25,2,0,0.5,48.9,0,0
Finland,1,38.9,0.5,0.5,21.1,0,0,0.75,11.2,1,..,0.25,0,0,0,0,1,0,0,18.7,0,0
France,1,35.5,0.5,0.5,34.7,0,0.25,0.25,6.6,0.25,..,0,0,0,0,0,3,0,0,20.7,0,0
Germany,1,32.9,0.25,0.5,31.7,0,0,0.75,19.6,0.25,..,0,0,0,0,0.75,4,0,0.5,19.8,0,0
Greece,1,34.2,0.5,0.5,..,0.5,0.5,0.25,2,1,..,0,0.5,0.5,0,0.25,7,0,0.25,..,0,0
Hungary,1,35.7,0.5,0.5,50.9,0,0.5,0.75,8.7,1,..,0.25,0.25,0.25,0,0.75,10,0,0.5,38.3,0,0
Iceland,1,44.7,0.5,0.5,13,0,0,0.25,..,0.75,..,0.25,0,0,0,0.25,0,0,0,..,0,0
Ireland,1,33.2,0.5,0.5,26,0,0,0.25,1,0,..,0.75,0,0,0,1,3,0,0,..,0,0
Israel,1,43.7,0.5,0.5,47.6,0.75,0.25,0.75,..,1,..,0.25,0.25,0.25,0,1,12,0.5,0.25,..,0,0.75
Italy,1,35.6,0.5,0.5,..,0,0,0.75,5.3,0.25,..,0,0,0,0.25,0,1,0,0,18,0,0
Japan,1,33.5,0.5,0.25,15.3,0.25,0,0.75,8.9,1,..,0.5,0.25,0,0.25,1,4,0,0.5,27.6,0,0
Korea,1,30.8,0.5,0.5,55.2,0,0,0.25,18.4,1,..,0.5,0.25,0.25,0,1,6,0.25,0.25,43.9,0,0
Latvia,1,41.6,0.5,0.5,59.3,0,0,0.75,2,1,..,0,0,0,0.25,0,6,0,0.5,..,0,0
Lithuania,1,38.2,0.5,0.5,43.3,0.25,0,0.5,2,1,..,0,0,0,0,0.25,4,0,0.5,..,0,0
Luxembourg,1,34.4,0.5,0.5,..,0,0,0.75,2,1,..,0,0,0,0,0,3,0,0,..,0,0
Mexico,1,37.9,0.75,0.5,43.6,1,0.25,0.5,5,1,..,0.5,0.25,0.25,0,0,15,0,0.25,23,0,0.25
Netherlands,1,35.7,0.25,0.5,14.9,0.25,0,0.75,6.4,0.25,..,0,0,0,0,0,2,0,0.5,10.6,0,0
New Zealand,1,42.2,0.5,0.5,21.4,0,0,0.75,7.7,0,..,0.25,0,0,0,0.25,2,0,0.5,15.1,0,0
Norway,1,37.2,0.5,0.5,15.2,0.25,0,0.25,9.9,0.25,..,0,0,0,0,0,0,0,0.5,14.4,0,0
Poland,1,36.9,0.5,0.5,58.7,0,0,0.75,7.9,1,..,0.5,0,0,0,1,7,0,0,31.3,0,0
Portugal,1,37.4,0.5,0.5,57.3,0,0,0.25,2,0.25,..,0,0,0,0,0,2,0,0,..,0,0
Slovak Republic,1,38.0,0.75,0.5,33.4,0,0,0.25,5,1,..,0,0,0,0,0.25,22,0,0.5,..,0,0.25
