Country,Child_marriage_Practice
Australia,0.6
Austria,2.8
Belgium,2.2
Canada,1.7
Chile,5.9
Colombia,14.5
Costa Rica,8.4
Czech Republic,0.2
Denmark,0.1
Estonia,0.5
Finland,0.3
France,2.8
Germany,0.4
Greece,1.9
Hungary,0.7
Iceland,0.5
Ireland,0.3
Israel,2.5
Italy,0.2
Japan,0.6
Korea,0.2
Latvia,0.7
Lithuania,0
Luxembourg,1.1
Mexico,19
Netherlands,0.1
New Zealand,0.8
Norway,0.1
Poland,1.2
Portugal,0.7
Slovak Republic,1.1
Slovenia,0.2
Spain,4
Sweden,0.3
Switzerland,0.4
Turkey,6.7
United Kingdom,3
United States,2.1
Afghanistan,35
Albania,7.2
Algeria,3.1
Angola,24.7
Antigua and Barbuda,3.9
Argentina,12.9
Armenia,4.8
Azerbaijan,9
Bahamas,2.4
Bahrain,5.5
Bangladesh,45.2
Barbados,0
Belarus,8.4
Belize,17.5
Benin,16.6
Bhutan,16.3
Bolivia,12
Bosnia and Herzegovina,0.7
Botswana,7.1
Brazil,15.4
Brunei Darussalam,3.2
Bulgaria,1.5
Burkina Faso,32.4
Burundi,9.9
Cambodia,16.6
Cameroon,22.3
Cabo Verde,10.6
Central African Republic,60.9
Chad,40.5
China (People's Republic of),3.2
Comoros,19.6
Congo,22.2
Democratic Republic of the Congo,23.9
C™te d'Ivoire,22.6
Croatia,2
Cuba,15.8
Cyprus,3.2
Djibouti,2.6
Dominica,0.2
Dominican Republic,27.4
Ecuador,21.9
Egypt,14.8
El Salvador,21
Equatorial Guinea,23.8
Eritrea,31.1
Ethiopia,22.5
Fiji,8.5
North Macedonia,4.3
Gabon,15
Gambia,25.5
Georgia,14.4
Ghana,8
Grenada,0.6
Guatemala,21.6
Guinea,34.3
Guinea-Bissau,11.8
Guyana,0.7
Haiti,6.7
Honduras,27.3
"  Hong Kong, China",0.5
India,21.5
Indonesia,13.8
Iran,21.4
Iraq,20.3
Jamaica,3.8
Jordan,11.3
Kazakhstan,6.5
Kenya,13.2
Kuwait,5.6
Kosovo,4.4
Kyrgyzstan,13.9
Lao People's Democratic Republic,19.8
Lebanon,3.4
Lesotho,18.3
Liberia,15.7
Libya,0.9
Madagascar,39.9
Malawi,26.9
Malaysia,6.1
Maldives,5.4
Mali,44
Malta,0.5
Mauritania,29.3
Mauritius,7.3
Moldova,11.5
Mongolia,5.3
Montenegro,2.4
Morocco,11.3
Mozambique,41
Myanmar,12.9
Namibia,5.9
Nepal,24.5
Nicaragua,30.4
Niger,61.9
Nigeria,30.4
Palestinian Authority or West Bank and Gaza Strip,9.3
Oman,4.2
Pakistan,13.4
Panama,3.9
Papua New Guinea,13.2
Paraguay,13.2
Peru,12.9
Philippines,4.8
Qatar,3.6
Romania,6.8
Russia,7.9
Rwanda,4
Samoa,7.6
Sao Tome and Principe,18.7
Saudi Arabia,5.8
Senegal,25
Serbia,3.5
Seychelles,6.6
Sierra Leone,19
Singapore,0.4
Solomon Islands,10.2
Somalia,28
South Africa,6.3
Sri Lanka,10.6
Sudan,21.2
South Sudan,40.1
Eswatini,4
Syrian Arab Republic,9.8
Chinese Taipei,2.3
Tajikistan,14.3
Tanzania,25.3
Thailand,17.1
Timor-Leste,8
Togo,13.8
Trinidad and Tobago,2.2
Tunisia,3.8
Turkmenistan,6.2
Uganda,22.8
Ukraine,7.2
United Arab Emirates,6.8
Uruguay,12
Uzbekistan,5
Venezuela,16.4
Viet Nam,10.3
Yemen,17.2
Zambia,18.6
Zimbabwe,22.9
